,,,,,,,,,,,
Empanelled Hospital List - Maharashtra,,,,,,,,,,,
Sr No,Hospital,Location,City,District,State,Address,STD_Code,Tel_no,Status,PPN Hospital,PPN City
1,Anand Rishiji Hospital & Medical Research Centre,Anand Rishiji Marg,Ahmednagar,Ahmednagar,Maharashtra,"124, Anand Rishiji Marg, Near Rly Station",0241,2320473,Empanelled,PPN Not Applicable,Other
2,Bagal Nursing Home,Tarakpur,Ahmednagar,Ahmednagar,Maharashtra,Viraj Colony Tarakpur,0241,2323735,Empanelled,PPN Not Applicable,Other
3,City Care Hospital,Near S T Stand,Ahmednagar,Ahmednagar,Maharashtra,Vinaj Estate Opp Tanakpur S T Stand Tarakpur,0241,2329108,Empanelled,PPN Not Applicable,Other
4,Daule Hospital,Savedi,Ahmednagar,Ahmednagar,Maharashtra,Nagar Manmad High Way Savedi,0241,2424988,Empanelled,PPN Not Applicable,Other
5,Deepak Hospital,Savedi Rd,Ahmednagar,Ahmednagar,Maharashtra,Savedi Road,0241,2326888,Empanelled,PPN Not Applicable,Other
6,Deshpande Hospital,Anandi Bazar,Ahmednagar,Ahmednagar,Maharashtra,Patwardhan Chowk Anandi Bazar,0241,2341012,Empanelled,PPN Not Applicable,Other
7,Dr Anbhule Hospital,Savedi,Ahmednagar,Ahmednagar,Maharashtra,Premdan Chowk Savedi,0241,2426092,Empanelled,PPN Not Applicable,Other
8,Dr Bade Hospital Surgical & Maternity Home,Nagar Manmad Road,Ahmednagar,Ahmednagar,Maharashtra,Opp Oberai Hotel Savedi Road Nagar Manmad Road,0241,2424929,Empanelled,PPN Not Applicable,Other
9,Dr Bakul Palwe Accidentand Surgical Hospital,Shriram Chowk,Ahmednagar,Ahmednagar,Maharashtra,Vasant Tekdi Shriram Chowk Pipe Line Road,0241,2425351,Empanelled,PPN Not Applicable,Other
10,Dr Gore Eye Hospital,Savedi Road,Ahmednagar,Ahmednagar,Maharashtra,Rainbow House Opp Deepak Hospital Near Zopadi Canteen Savedi Road,0241,2422211,Empanelled,PPN Not Applicable,Other
11,Dr Kalamkar Hospital,Kavikanj Nagar,Ahmednagar,Ahmednagar,Maharashtra,Kavikanj Nagar Near Inspector Banglow Nagar Aurangabad Road,0241,2353510,Empanelled,PPN Not Applicable,Other
12,Dr Khalkar Hospital,Station Road,Ahmednagar,Ahmednagar,Maharashtra,Plot No 16 Front of MCA Ground Sattha Colony Station Road,0241,2452395,Empanelled,PPN Not Applicable,Other
